구매_ID,구매_날짜,구매자_ID,상품_ID,구매_수량,각인_서비스,결제_방식,총_결제_금액
2019-01-010069-1,2019-01-01,0069,A2,100,F,신용카드," 1,200,000 "
2019-01-010017-1,2019-01-01,0017,A1,300,F,계좌이체," 1,500,000 "
2019-01-010078-1,2019-01-01,0078,A3,80,F,신용카드," 1,360,000 "
2019-01-010049-1,2019-01-01,0049,A1,60,F,카카오페이," 300,000 "
2019-01-010075-1,2019-01-01,0075,W3,36,T,신용카드," 1,800,000 "
2019-01-010052-1,2019-01-01,0052,S3,70,T,신용카드," 1,540,000 "
2019-01-010036-1,2019-01-01,0036,S3,60,T,계좌이체," 1,320,000 "
2019-01-010077-1,2019-01-01,0077,A4,100,F,카카오페이," 500,000 "
2019-01-010030-1,2019-01-01,0030,A4,100,F,카카오페이," 500,000 "
2019-01-010058-1,2019-01-01,0058,W2,100,T,계좌이체," 7,500,000 "
2019-01-010040-1,2019-01-01,0040,S4,20,F,계좌이체," 700,000 "
2019-01-010069-2,2019-01-01,0069,W3,50,F,계좌이체," 2,500,000 "
2019-01-010061-1,2019-01-01,0061,W5,70,F,신용카드," 280,000 "
2019-01-010011-1,2019-01-01,0011,S2,50,F,계좌이체," 500,000 "
2019-01-010077-2,2019-01-01,0077,W6,20,F,카카오페이," 900,000 "
2019-01-010009-1,2019-01-01,0009,C1,600,T,신용카드," 15,000,000 "
2019-01-010078-2,2019-01-01,0078,A2,100,F,계좌이체," 1,200,000 "
2019-01-010017-2,2019-01-01,0017,A2,84,F,신용카드," 1,008,000 "
2019-01-010055-1,2019-01-01,0055,W1,30,F,계좌이체," 1,800,000 "
2019-01-010073-1,2019-01-01,0073,S5,26,F,신용카드," 2,080,000 "
2019-01-010021-1,2019-01-01,0021,W5,20,F,신용카드," 80,000 "
2019-01-010046-1,2019-01-01,0046,A4,95,T,계좌이체," 475,000 "
2019-01-010040-2,2019-01-01,0040,S5,99,T,계좌이체," 7,920,000 "
2019-01-010065-1,2019-01-01,0065,C2,60,T,신용카드," 1,620,000 "
2019-01-010066-1,2019-01-01,0066,S5,77,F,신용카드," 6,160,000 "
2019-01-010083-1,2019-01-01,0083,A4,100,F,계좌이체," 500,000 "
2019-01-010072-1,2019-01-01,0072,S5,200,F,신용카드," 16,000,000 "
2019-01-020067-1,2019-01-02,0067,W4,39,F,카카오페이," 19,500 "
2019-01-020075-1,2019-01-02,0075,W3,70,F,카카오페이," 3,500,000 "
2019-01-020055-1,2019-01-02,0055,S2,30,T,카카오페이," 300,000 "
2019-01-020057-1,2019-01-02,0057,A1,20,F,카카오페이," 100,000 "
