구매_ID,구매_날짜,구매자_ID,구매_수량,각인_서비스,결제_방식,총_결제_금액,상품_ID,카테고리,상품이름
2022-01-010028-1,2022-01-01,28,300,F,신용카드,1200000,17,4,지우개 세트
2022-01-020133-1,2022-01-02,133,200,T,계좌이체,300000,7,3,양장노트
2022-01-020581-1,2022-01-02,581,3,F,신용카드,180000,13,4,만년필
2022-01-020589-1,2022-01-02,589,25,F,카카오페이,300000,2,1,드로잉 펜 6종세트
2022-01-030369-1,2022-01-03,369,100,F,신용카드,1000000,8,3,다이어리
2022-01-030635-1,2022-01-03,635,3,F,신용카드,75000,5,2,가죽 필통
2022-01-030551-1,2022-01-03,551,7,T,신용카드,189000,6,2,가죽 필통
2022-01-040162-1,2022-01-04,162,150,F,계좌이체,75000,16,4,연필
2022-01-040263-1,2022-01-04,263,200,F,계좌이체,100000,16,4,연필
2022-01-040164-1,2022-01-04,164,15,F,신용카드,180000,2,1,드로잉 펜 6종세트
2022-01-040357-1,2022-01-04,357,300,T,카카오페이,450000,7,3,양장노트
2022-01-040404-1,2022-01-04,404,2,F,계좌이체,70000,10,3,잠금장치 노트
2022-01-050685-1,2022-01-05,685,300,F,카카오페이,150000,16,4,연필
2022-01-050728-1,2022-01-05,728,60,F,계좌이체,300000,1,1,색연필 세트
2022-01-060728-1,2022-01-06,728,160,F,신용카드,800000,1,1,색연필 세트
2022-01-060148-1,2022-01-06,148,200,F,카카오페이,800000,17,4,지우개 세트
2022-01-060303-1,2022-01-06,303,20,T,신용카드,1500000,14,4,만년필
2022-01-060385-1,2022-01-06,385,3,F,계좌이체,150000,15,4,탄생석 펜
2022-01-060514-1,2022-01-06,514,2,T,카카오페이,50000,5,2,가죽 필통
2022-01-070132-1,2022-01-07,132,300,F,계좌이체,1650000,12,3,리필 종이
2022-01-070715-1,2022-01-07,715,2,F,카카오페이,100000,15,4,탄생석 펜
2022-01-080175-1,2022-01-08,175,100,T,카카오페이,150000,7,3,양장노트
2022-01-080184-1,2022-01-08,184,300,F,계좌이체,150000,16,4,연필
2022-01-080480-1,2022-01-08,480,250,F,신용카드,375000,7,3,양장노트
2022-01-090709-1,2022-01-09,709,3,F,신용카드,66000,9,3,잠금장치 노트
2022-01-090623-1,2022-01-09,623,7,T,계좌이체,175000,5,2,가죽 필통
2022-01-090516-1,2022-01-09,516,200,F,신용카드,1100000,12,3,리필 종이
2022-01-090834-1,2022-01-09,834,1,F,계좌이체,60000,13,4,만년필
2022-01-090400-1,2022-01-09,400,100,F,계좌이체,550000,12,3,리필 종이
2022-01-090843-1,2022-01-09,843,2,T,계좌이체,150000,14,4,만년필
2022-01-100253-1,2022-01-10,253,6,F,계좌이체,72000,2,1,드로잉 펜 6종세트
2022-01-100480-1,2022-01-10,480,2,T,카카오페이,120000,13,4,만년필
2022-01-110645-1,2022-01-11,645,100,F,카카오페이,500000,1,1,색연필 세트
2022-01-120180-1,2022-01-12,180,3,F,계좌이체,225000,14,4,만년필
2022-01-120129-1,2022-01-12,129,10,F,신용카드,120000,2,1,드로잉 펜 6종세트
2022-01-120188-1,2022-01-12,188,2,F,신용카드,160000,11,3,실험 일지 세트
2022-01-120104-1,2022-01-12,104,5,T,카카오페이,135000,6,2,가죽 필통
2022-01-120227-1,2022-01-12,227,3,F,신용카드,75000,5,2,가죽 필통
2022-01-120302-1,2022-01-12,302,120,F,신용카드,660000,12,3,리필 종이
2022-01-120198-1,2022-01-12,198,200,T,카카오페이,1000000,4,1,연필 세트
2022-01-130846-1,2022-01-13,846,10,F,신용카드,250000,5,2,가죽 필통
2022-01-130668-1,2022-01-13,668,2,F,계좌이체,160000,11,3,실험 일지 세트
2022-01-150131-1,2022-01-15,131,100,T,계좌이체,150000,7,3,양장노트
2022-01-150556-1,2022-01-15,556,3,F,계좌이체,81000,6,2,가죽 필통
2022-01-150546-1,2022-01-15,546,2,T,계좌이체,120000,13,4,만년필
2022-01-150824-1,2022-01-15,824,15,T,계좌이체,150000,8,3,다이어리
2022-01-150592-1,2022-01-15,592,10,T,카카오페이,250000,5,2,가죽 필통
2022-01-160107-1,2022-01-16,107,2,T,계좌이체,50000,5,2,가죽 필통
2022-01-160485-1,2022-01-16,485,5,T,계좌이체,135000,6,2,가죽 필통
2022-01-160243-1,2022-01-16,243,7,F,신용카드,154000,9,3,잠금장치 노트
2022-01-160729-1,2022-01-16,729,3,T,신용카드,66000,9,3,잠금장치 노트
2022-01-160128-1,2022-01-16,128,5,T,계좌이체,225000,18,4,깃펜 세트
2022-01-160227-1,2022-01-16,227,30,F,카카오페이,120000,17,4,지우개 세트
2022-01-170463-1,2022-01-17,463,70,T,신용카드,105000,7,3,양장노트
2022-01-170376-1,2022-01-17,376,15,F,계좌이체,255000,3,1,드로잉 펜 8종 세트
2022-01-170051-1,2022-01-17,51,70,F,계좌이체,35000,16,4,연필
2022-01-180087-1,2022-01-18,87,2,T,신용카드,90000,18,4,깃펜 세트
2022-01-180263-1,2022-01-18,263,1,T,신용카드,75000,14,4,만년필
2022-01-180251-1,2022-01-18,251,12,T,신용카드,60000,1,1,색연필 세트
2022-01-180266-1,2022-01-18,266,3,T,카카오페이,75000,5,2,가죽 필통
2022-01-190303-1,2022-01-19,303,20,F,계좌이체,30000,7,3,양장노트
2022-01-200629-1,2022-01-20,629,5,F,신용카드,85000,3,1,드로잉 펜 8종 세트
2022-01-200093-1,2022-01-20,93,7,F,신용카드,119000,3,1,드로잉 펜 8종 세트
2022-01-200806-1,2022-01-20,806,6,F,계좌이체,132000,9,3,잠금장치 노트
2022-01-210074-1,2022-01-21,74,5,F,계좌이체,175000,10,3,잠금장치 노트
2022-01-210325-1,2022-01-21,325,3,F,신용카드,81000,6,2,가죽 필통
2022-01-210263-1,2022-01-21,263,50,F,계좌이체,25000,16,4,연필
2022-01-210035-1,2022-01-21,35,2,F,계좌이체,44000,9,3,잠금장치 노트
2022-01-220502-1,2022-01-22,502,10,F,계좌이체,100000,8,3,다이어리
2022-01-220171-1,2022-01-22,171,2,T,카카오페이,100000,15,4,탄생석 펜
2022-01-230521-1,2022-01-23,521,10,F,카카오페이,170000,3,1,드로잉 펜 8종 세트
2022-01-230619-1,2022-01-23,619,7,F,신용카드,84000,2,1,드로잉 펜 6종세트
2022-01-230491-1,2022-01-23,491,3,F,계좌이체,81000,6,2,가죽 필통
2022-01-230357-1,2022-01-23,357,2,F,신용카드,120000,13,4,만년필
2022-01-240623-1,2022-01-24,623,5,T,계좌이체,400000,11,3,실험 일지 세트
2022-01-240362-1,2022-01-24,362,10,F,카카오페이,120000,2,1,드로잉 펜 6종세트
2022-01-240831-1,2022-01-24,831,7,T,신용카드,154000,9,3,잠금장치 노트
2022-01-240652-1,2022-01-24,652,30,T,계좌이체,150000,1,1,색연필 세트
2022-01-250218-1,2022-01-25,218,2,F,계좌이체,150000,14,4,만년필
2022-01-260041-1,2022-01-26,41,1,T,계좌이체,50000,15,4,탄생석 펜
2022-01-260269-1,2022-01-26,269,10,F,카카오페이,170000,3,1,드로잉 펜 8종 세트
2022-01-260326-1,2022-01-26,326,3,T,신용카드,180000,13,4,만년필
2022-01-260046-1,2022-01-26,46,10,F,신용카드,120000,2,1,드로잉 펜 6종세트
2022-01-270720-1,2022-01-27,720,3,F,계좌이체,180000,13,4,만년필
2022-01-270240-1,2022-01-27,240,2,T,신용카드,160000,11,3,실험 일지 세트
2022-01-280107-1,2022-01-28,107,100,F,계좌이체,400000,17,4,지우개 세트
2022-01-290284-1,2022-01-29,284,3,F,신용카드,225000,14,4,만년필
2022-01-290350-1,2022-01-29,350,2,F,계좌이체,160000,11,3,실험 일지 세트
2022-01-290285-1,2022-01-29,285,10,F,신용카드,120000,2,1,드로잉 펜 6종세트
2022-01-290222-1,2022-01-29,222,6,T,카카오페이,60000,8,3,다이어리
2022-01-290271-1,2022-01-29,271,70,F,신용카드,35000,16,4,연필
2022-01-290549-1,2022-01-29,549,2,T,카카오페이,50000,5,2,가죽 필통
2022-01-290242-1,2022-01-29,242,12,F,계좌이체,144000,2,1,드로잉 펜 6종세트
2022-01-300370-1,2022-01-30,370,30,F,계좌이체,165000,12,3,리필 종이
2022-01-300618-1,2022-01-30,618,5,T,신용카드,110000,9,3,잠금장치 노트
2022-01-300294-1,2022-01-30,294,15,F,신용카드,180000,2,1,드로잉 펜 6종세트
2022-01-310015-1,2022-01-31,15,2,T,카카오페이,44000,9,3,잠금장치 노트
2022-01-310412-1,2022-01-31,412,2,F,신용카드,120000,13,4,만년필
2022-01-310061-1,2022-01-31,61,2,F,신용카드,160000,11,3,실험 일지 세트
2022-01-310790-1,2022-01-31,790,1,T,신용카드,25000,5,2,가죽 필통
2022-02-010566-1,2022-02-01,566,7,F,카카오페이,119000,3,1,드로잉 펜 8종 세트
2022-02-010647-1,2022-02-01,647,3,T,계좌이체,81000,6,2,가죽 필통
2022-02-010387-1,2022-02-01,387,2,F,계좌이체,100000,15,4,탄생석 펜
2022-02-010193-1,2022-02-01,193,2,F,계좌이체,160000,11,3,실험 일지 세트
