구매_ID,구매_날짜,구매자_ID,상품_ID,구매_수량,각인_서비스,결제_방식,총_결제_금액
2023-01-01-0351-1,2023-01-01,0351,A4,5,F,신용카드," 25,000 "
2023-01-01-0058-1,2023-01-01,0058,A3,100,F,신용카드," 1,700,000 "
2023-01-01-0815-1,2023-01-01,0815,A1,10,F,신용카드," 50,000 "
2023-01-01-0340-1,2023-01-01,0340,C2,3,F,신용카드," 81,000 "
2023-01-01-0550-1,2023-01-01,0550,S1,30,T,계좌이체," 45,000 "
2023-01-01-0441-1,2023-01-01,0441,A2,100,F,신용카드," 1,200,000 "
2023-01-01-0297-1,2023-01-01,0297,W3,20,F,신용카드," 1,000,000 "
2023-01-01-0528-1,2023-01-01,0528,C1,30,F,카카오페이," 750,000 "
2023-01-01-0627-1,2023-01-01,0627,W5,80,F,카카오페이," 320,000 "
2023-01-01-0287-1,2023-01-01,0287,C1,5,T,신용카드," 125,000 "
2023-01-01-0209-1,2023-01-01,0209,S3,20,F,카카오페이," 440,000 "
2023-01-01-0306-1,2023-01-01,0306,A3,100,F,신용카드," 1,700,000 "
2023-01-01-0762-1,2023-01-01,0762,W4,30,F,카카오페이," 15,000 "
2023-01-01-0247-1,2023-01-01,0247,A2,20,F,신용카드," 240,000 "
2023-01-01-0095-1,2023-01-01,0095,S5,10,T,신용카드," 800,000 "
2023-01-01-0012-1,2023-01-01,0012,S1,5,T,신용카드," 7,500 "
2023-01-01-0633-1,2023-01-01,0633,C1,100,T,계좌이체," 2,500,000 "
2023-01-01-0220-1,2023-01-01,0220,W2,5,T,카카오페이," 375,000 "
2023-01-01-0138-1,2023-01-01,0138,A2,15,F,신용카드," 180,000 "
2023-01-01-0819-1,2023-01-01,0819,A1,10,T,카카오페이," 50,000 "
2023-01-01-0916-1,2023-01-01,0916,W5,500,F,신용카드," 2,000,000 "
2023-01-01-0561-1,2023-01-01,0561,S5,20,F,카카오페이," 1,600,000 "
2023-01-01-0186-1,2023-01-01,0186,A4,100,T,계좌이체," 500,000 "
2023-01-01-0800-1,2023-01-01,0800,W3,2,T,계좌이체," 100,000 "
2023-01-01-0284-1,2023-01-01,0284,S6,300,F,신용카드," 1,650,000 "
2023-01-01-0946-1,2023-01-01,0946,W2,5,T,신용카드," 375,000 "
2023-01-01-0249-1,2023-01-01,0249,A1,100,T,계좌이체," 500,000 "
2023-01-01-0740-1,2023-01-01,0740,W2,5,T,계좌이체," 375,000 "
2023-01-01-0079-1,2023-01-01,0079,S2,1,F,카카오페이," 10,000 "
2023-01-01-0985-1,2023-01-01,0985,A3,10,F,계좌이체," 170,000 "
