구매_ID,구매_날짜,구매자_ID,구매_수량,각인_서비스,결제_방식,총_결제_금액,상품_ID,카테고리,상품이름
2023-01-01-0351-1,2023-01-01,351,5,F,신용카드,25000,4,1,연필 세트
2023-01-01-0058-1,2023-01-01,58,100,F,신용카드,1700000,3,1,드로잉 펜 8종 세트
2023-01-01-0815-1,2023-01-01,815,10,F,신용카드,50000,1,1,색연필 세트
2023-01-01-0340-1,2023-01-01,340,3,F,신용카드,81000,6,2,가죽 필통
2023-01-01-0550-1,2023-01-01,550,30,T,계좌이체,45000,7,3,양장노트
2023-01-01-0441-1,2023-01-01,441,100,F,신용카드,1200000,2,1,드로잉 펜 6종세트
2023-01-01-0297-1,2023-01-01,297,20,F,신용카드,1000000,15,4,탄생석 펜
2023-01-01-0528-1,2023-01-01,528,30,F,카카오페이,750000,5,2,가죽 필통
2023-01-01-0627-1,2023-01-01,627,80,F,카카오페이,320000,17,4,지우개 세트
2023-01-01-0287-1,2023-01-01,287,5,T,신용카드,125000,5,2,가죽 필통
2023-01-01-0209-1,2023-01-01,209,20,F,카카오페이,440000,9,3,잠금장치 노트
2023-01-01-0306-1,2023-01-01,306,100,F,신용카드,1700000,3,1,드로잉 펜 8종 세트
2023-01-01-0762-1,2023-01-01,762,30,F,카카오페이,15000,16,4,연필
2023-01-01-0247-1,2023-01-01,247,20,F,신용카드,240000,2,1,드로잉 펜 6종세트
2023-01-01-0095-1,2023-01-01,95,10,T,신용카드,800000,11,3,실험 일지 세트
2023-01-01-0012-1,2023-01-01,12,5,T,신용카드,7500,7,3,양장노트
2023-01-01-0633-1,2023-01-01,633,100,T,계좌이체,2500000,5,2,가죽 필통
2023-01-01-0220-1,2023-01-01,220,5,T,카카오페이,375000,14,4,만년필
2023-01-01-0138-1,2023-01-01,138,15,F,신용카드,180000,2,1,드로잉 펜 6종세트
2023-01-01-0819-1,2023-01-01,819,10,T,카카오페이,50000,1,1,색연필 세트
2023-01-01-0916-1,2023-01-01,916,500,F,신용카드,2000000,17,4,지우개 세트
2023-01-01-0561-1,2023-01-01,561,20,F,카카오페이,1600000,11,3,실험 일지 세트
2023-01-01-0186-1,2023-01-01,186,100,T,계좌이체,500000,4,1,연필 세트
2023-01-01-0800-1,2023-01-01,800,2,T,계좌이체,100000,15,4,탄생석 펜
2023-01-01-0284-1,2023-01-01,284,300,F,신용카드,1650000,12,3,리필 종이
2023-01-01-0946-1,2023-01-01,946,5,T,신용카드,375000,14,4,만년필
2023-01-01-0249-1,2023-01-01,249,100,T,계좌이체,500000,1,1,색연필 세트
2023-01-01-0740-1,2023-01-01,740,5,T,계좌이체,375000,14,4,만년필
2023-01-01-0079-1,2023-01-01,79,1,F,카카오페이,10000,8,3,다이어리
2023-01-01-0985-1,2023-01-01,985,10,F,계좌이체,170000,3,1,드로잉 펜 8종 세트
2023-01-01-0712-1,2023-01-01,712,300,F,계좌이체,1200000,17,4,지우개 세트
2023-01-01-0752-1,2023-01-01,752,1,F,계좌이체,10000,8,3,다이어리
2023-01-01-0452-1,2023-01-01,452,2,T,카카오페이,10000,1,1,색연필 세트
2023-01-01-0078-1,2023-01-01,78,200,F,카카오페이,800000,17,4,지우개 세트
2023-01-01-0215-1,2023-01-01,215,300,F,계좌이체,150000,16,4,연필
