구매_ID,구매_날짜,구매자_ID,구매_수량,각인_서비스,결제_방식,총_결제_금액,상품_ID,카테고리,상품이름
2020-01-01-0047-1,2020-01-01,47,8,F,계좌이체,216000,6,2,가죽 필통
2020-01-01-0047-2,2020-01-01,47,182,F,계좌이체,728000,17,4,지우개 세트
2020-01-02-0058-1,2020-01-02,58,59,F,카카오페이,1475000,5,2,가죽 필통
2020-01-02-0015-1,2020-01-02,15,402,F,신용카드,2211000,12,3,리필 종이
2020-01-03-0062-1,2020-01-03,62,8,F,신용카드,280000,10,3,잠금장치 노트
2020-01-03-0088-1,2020-01-03,88,181,F,신용카드,724000,17,4,지우개 세트
2020-01-03-0103-1,2020-01-03,103,4,F,계좌이체,140000,10,3,잠금장치 노트
2020-01-03-0092-1,2020-01-03,92,2,T,신용카드,160000,11,3,실험 일지 세트
2020-01-04-0004-1,2020-01-04,4,17,T,계좌이체,1020000,13,4,만년필
2020-01-04-0088-1,2020-01-04,88,55,T,신용카드,1375000,5,2,가죽 필통
2020-01-06-0031-1,2020-01-06,31,73,F,계좌이체,401500,12,3,리필 종이
2020-01-06-0013-1,2020-01-06,13,20,T,신용카드,1600000,11,3,실험 일지 세트
2020-01-06-0103-1,2020-01-06,103,5,T,카카오페이,375000,14,4,만년필
2020-01-06-0043-1,2020-01-06,43,234,F,신용카드,936000,17,4,지우개 세트
2020-01-08-0094-1,2020-01-08,94,100,F,신용카드,2700000,6,2,가죽 필통
2020-01-08-0011-1,2020-01-08,11,8,T,계좌이체,600000,14,4,만년필
2020-01-08-0060-1,2020-01-08,60,10,F,계좌이체,50000,4,1,연필 세트
2020-01-08-0027-1,2020-01-08,27,103,F,카카오페이,515000,1,1,색연필 세트
2020-01-09-0026-1,2020-01-09,26,9,F,신용카드,720000,11,3,실험 일지 세트
2020-01-10-0096-1,2020-01-10,96,13,F,신용카드,221000,3,1,드로잉 펜 8종 세트
2020-01-10-0024-1,2020-01-10,24,99,T,신용카드,148500,7,3,양장노트
2020-01-11-0077-1,2020-01-11,77,84,T,신용카드,2268000,6,2,가죽 필통
2020-01-11-0074-1,2020-01-11,74,68,F,신용카드,340000,4,1,연필 세트
2020-01-11-0055-1,2020-01-11,55,176,F,신용카드,968000,12,3,리필 종이
2020-01-12-0081-1,2020-01-12,81,113,F,신용카드,56500,16,4,연필
2020-01-12-0020-1,2020-01-12,20,4,T,카카오페이,320000,11,3,실험 일지 세트
2020-01-13-0047-1,2020-01-13,47,38,F,계좌이체,152000,17,4,지우개 세트
2020-01-15-0041-1,2020-01-15,41,98,F,신용카드,1176000,2,1,드로잉 펜 6종세트
2020-01-15-0009-1,2020-01-15,9,15,T,신용카드,525000,10,3,잠금장치 노트
2020-01-16-0020-1,2020-01-16,20,103,F,계좌이체,515000,1,1,색연필 세트
2020-01-16-0104-1,2020-01-16,104,344,F,신용카드,1376000,17,4,지우개 세트
2020-01-16-0097-1,2020-01-16,97,55,F,계좌이체,660000,2,1,드로잉 펜 6종세트
2020-01-17-0068-1,2020-01-17,68,61,F,신용카드,1037000,3,1,드로잉 펜 8종 세트
2020-01-17-0049-1,2020-01-17,49,91,T,신용카드,455000,4,1,연필 세트
2020-01-17-0063-1,2020-01-17,63,20,T,계좌이체,1200000,13,4,만년필
2020-01-18-0038-1,2020-01-18,38,2,F,계좌이체,50000,5,2,가죽 필통
2020-01-18-0080-1,2020-01-18,80,114,F,계좌이체,57000,16,4,연필
2020-01-18-0064-1,2020-01-18,64,48,F,카카오페이,1296000,6,2,가죽 필통
2020-01-18-0043-1,2020-01-18,43,78,F,신용카드,1326000,3,1,드로잉 펜 8종 세트
2020-01-19-0085-1,2020-01-19,85,23,T,신용카드,621000,6,2,가죽 필통
